time, magnitude, latitude, longitude, depth
2002-06-20T05:26:10.640Z,5.1,-23.473,-175.518,33.0
1997-03-12T01:55:00.980Z,5.0,-23.452,-175.51,33.0
2006-11-18T21:45:11.170Z,5.0,-23.497,-175.545,42.0
1997-03-12T01:55:00.980Z,5.0,-23.452,-175.51,33.0
2011-07-04T21:42:18.080Z,5.1,-23.521,-175.548,56.5
1997-03-17T09:23:17.010Z,5.1,41.897,142.11,76.5
2003-11-13T22:39:20.580Z,5.0,41.857,142.117,74.4
1997-03-17T09:23:17.010Z,5.1,41.897,142.11,76.5
2016-09-26T02:24:37.740Z,5.0,41.88,142.204,64.0
1997-04-08T15:14:23.300Z,5.5,52.06,-171.408,45.9
2014-06-20T12:16:46.370Z,5.4,51.769,-171.254,41.9
1997-04-11T12:01:45.470Z,5.5,26.124,128.5,33.0
2011-05-05T23:21:22.100Z,5.5,26.124,128.398,10.0
1997-04-27T14:09:08.810Z,5.2,46.15,153.135,33.0
2006-12-13T01:57:43.100Z,5.0,46.166,152.966,10.0
1997-04-27T14:09:08.810Z,5.2,46.15,153.135,33.0
2008-03-03T11:22:35.660Z,5.3,46.257,152.931,10.0
1997-05-05T05:44:17.380Z,5.5,14.906,119.889,33.0
2010-11-10T10:30:15.660Z,5.5,14.923,119.868,21.0
1997-05-08T14:01:10.240Z,5.6,12.267,-87.204,59.1
2011-05-02T23:55:39.470Z,5.4,12.129,-87.47,28.0
1997-06-19T10:05:19.930Z,5.0,24.852,125.285,49.1
2002-06-04T17:20:57.090Z,5.1,24.85,125.353,48.9
1997-06-19T10:05:19.930Z,5.0,24.852,125.285,49.1
2007-09-22T08:00:18.940Z,5.1,24.855,125.267,54.4
1997-06-19T10:05:19.930Z,5.0,24.852,125.285,49.1
2014-09-17T23:18:55.450Z,5.4,24.841,125.351,42.8
1997-07-09T09:36:07.010Z,5.1,35.434,139.989,64.0
2014-05-12T23:35:02.310Z,5.1,35.597,140.059,55.3
1997-09-02T00:19:48.070Z,5.1,41.25,142.566,54.8
2007-01-16T12:52:36.960Z,5.0,41.182,142.714,29.9
1997-09-09T05:45:47.370Z,5.1,5.789,-77.516,21.4
2007-09-22T11:44:39.330Z,5.0,5.759,-77.437,24.3
1997-09-21T22:03:04.940Z,5.2,51.992,-170.566,33.0
2008-08-18T02:21:19.070Z,5.2,52.146,-170.6,30.7
1997-09-21T22:03:04.940Z,5.2,51.992,-170.566,33.0
2017-05-06T20:43:19.300Z,5.2,52.112,-170.543,31.7
1997-09-24T15:16:28.340Z,5.1,-21.024,-174.273,33.0
2004-05-12T18:08:48.130Z,5.1,-20.741,-174.397,10.0
1997-09-24T15:16:28.340Z,5.1,-21.024,-174.273,33.0
2007-01-06T11:10:20.340Z,5.1,-20.829,-174.391,33.1
1997-09-24T15:16:28.340Z,5.1,-21.024,-174.273,33.0
2014-10-02T07:02:05.150Z,5.1,-20.931,-174.29,10.0
1997-09-25T19:54:03.150Z,5.6,-12.496,166.468,33.0
2016-03-18T12:49:12.910Z,5.5,-12.511,166.621,29.0
1997-10-20T05:14:40.310Z,5.3,-25.611,-176.815,33.0
2006-08-19T10:28:07.600Z,5.2,-25.624,-176.815,64.9
1997-11-16T08:18:16.360Z,5.3,-4.956,103.189,58.3
2012-06-20T09:59:04.590Z,5.2,-4.928,103.194,69.5
1997-11-23T08:35:47.710Z,5.1,-5.405,102.523,33.0
2000-06-04T17:38:03.060Z,5.1,-5.291,102.693,33.0
1998-02-11T02:25:44.390Z,5.2,41.995,142.317,74.8
2011-09-18T10:39:48.400Z,5.1,42.036,142.315,69.4
1998-03-21T02:18:54.000Z,5.0,-4.253,-80.709,33.0
2010-09-11T18:55:25.730Z,5.2,-4.244,-80.584,61.6
1998-04-12T18:35:09.060Z,5.5,-23.718,-176.041,33.0
